"","study","diff","std.err","treatment","n"
"1","Arabzadeh, 2018",NA,0.446452867275595,"Placebo",40
"2","Arabzadeh, 2018",-0.469149052105294,0.447452867275595,"Ket_Low",41
"3","Canuso, 2018",NA,0.517002148520107,"Placebo",31
"4","Canuso, 2018",-0.342167308870924,0.518002148520107,"Esket_High",35
"5","Domany, 2019",NA,0.670974519244041,"Placebo",18
"6","Domany, 2019",-1.11613637838894,0.671974519244041,"Ket_Low",22
"7","Fedgchin, 2019",NA,0.289604628637941,"Placebo",113
"8","Fedgchin, 2019",-0.263081480037091,0.290604628637941,"Esket_High",114
"9","Fedgchin, 2019",-0.376043762637684,0.29439793065249,"Esket_Low",115
"10","Fu, 2020",NA,0.279310174025066,"Placebo",112
"11","Fu, 2020",-0.548227526771652,0.280310174025066,"Esket_High",112
"12","G·lvez, 2018",NA,2.20745419359208,"Placebo",2
"13","G·lvez, 2018",0.84631559221485,2.20845419359208,"Ket_High",3
"14","Ionescu, 2019",NA,0.848037019762204,"Placebo",13
"15","Ionescu, 2019",-0.582282971590161,0.849037019762204,"Ket_High",13
"16","Ionescu, 2021",NA,0.284674685103946,"Placebo",113
"17","Ionescu, 2021",-0.237938429702577,0.285674685103946,"Esket_High",114
"18","Loo C1, 2022",NA,0.503015949871935,"Placebo",35
"19","Loo C1, 2022",0.0102249169082966,0.504015949871935,"Ket_Low",33
"20","Loo C2, 2022",NA,0.401969955490894,"Placebo",53
"21","Loo C2, 2022",-0.520750158222079,0.402969955490894,"Ket_High",53
"22","Ochs-Ross, 2020",NA,0.360208699590005,"Placebo",64
"23","Ochs-Ross, 2020",-0.393554683712715,0.361208699590005,"Esket_High",71
"24","Popova, 2019",NA,0.289917069575478,"Placebo",109
"25","Popova, 2019",-0.33834147346492,0.290917069575478,"Esket_High",112
"26","Singh x2, 2016",NA,0.785550079885609,"Placebo",16
"27","Singh x2, 2016",-1.45734770358588,0.786550079885609,"Ket_High",18
"28","Singh x3, 2016",NA,0.759711845085969,"Placebo",16
"29","Singh x3, 2016",-2.34166782461176,0.760711845085969,"Ket_High",17
"30","Takahashi, 2021",NA,0.337210262600263,"Placebo",79
"31","Takahashi, 2021",-0.0635518101977641,0.338210262600263,"Esket_Low",80
"32","Takahashi, 2021",-0.0436833720228065,0.412508646988532,"Esket_High",41
